account_id,customer_id,account_type,branch_code,opening_date,current_balance,available_balance,currency,account_status,freeze_status,last_transaction_date
ACC000000001,CUST0005087,CURRENT,BR0094,2018-11-26,335659.85,305109.5,INR,ACTIVE,Y,2025-01-27
ACC000000002,CUST0004389,SAVINGS,BR0097,2022-01-23,19412.34,9850.57,INR,ACTIVE,N,2025-05-28
ACC000000003,CUST0008397,SAVINGS,BR0009,2018-10-27,90997.29,63766.18,INR,ACTIVE,N,2024-07-13
ACC000000004,CUST0000256,SAVINGS,BR0017,2023-05-04,54821.1,5693.57,INR,ACTIVE,N,2023-12-28
ACC000000005,CUST0006766,SAVINGS,BR0078,2016-08-29,5738.26,2430.41,INR,ACTIVE,N,2023-11-04
ACC000000006,CUST0002464,CURRENT,BR0042,2021-10-18,23548.88,23322.11,INR,ACTIVE,N,2026-02-20
ACC000000007,CUST0005929,SAVINGS,BR0002,2019-12-11,93326.43,72144.59,INR,ACTIVE,N,2023-11-13
ACC000000008,CUST0002130,SAVINGS,BR0113,2021-05-05,30494.24,19167.7,INR,ACTIVE,N,2025-11-12
ACC000000009,CUST0004560,SAVINGS,BR0052,2016-06-19,223092.96,217071.16,GBP,ACTIVE,N,2025-05-27
ACC000000010,CUST0007402,CURRENT,BR0050,2018-12-11,85399.44,38455.91,INR,ACTIVE,N,2023-12-03
ACC000000011,CUST0006088,SAVINGS,BR0092,2018-11-17,42676.84,29103.66,INR,BLOCKED,Y,2024-05-10
ACC000000012,CUST0008205,SAVINGS,BR0102,2025-10-27,50636.28,46749.09,INR,ACTIVE,N,2026-05-18
ACC000000013,CUST0008520,SAVINGS,BR0090,2016-04-19,71067.45,64858.59,INR,ACTIVE,N,2024-05-24
ACC000000014,CUST0004241,SALARY,BR0116,2017-03-16,40674.82,1920.32,INR,ACTIVE,N,2024-09-04
ACC000000015,CUST0009248,SAVINGS,BR0108,2018-04-19,25666.0,1647.39,INR,ACTIVE,N,2023-10-16
ACC000000016,CUST0008884,CURRENT,BR0118,2023-12-01,66337.85,34401.25,INR,ACTIVE,N,2025-12-04
ACC000000017,CUST0005109,FIXED_DEPOSIT,BR0071,2025-03-22,114211.92,66802.4,INR,ACTIVE,N,2025-04-01
ACC000000018,CUST0004425,SAVINGS,BR0094,2025-05-09,104418.78,83684.44,INR,ACTIVE,N,2025-12-22
ACC000000019,CUST0002144,SAVINGS,BR0001,2015-02-26,64443.18,20461.71,INR,ACTIVE,N,2023-01-05
ACC000000020,CUST0007407,SAVINGS,BR0004,2025-12-14,18576.44,15496.47,USD,ACTIVE,N,2026-05-16
ACC000000021,CUST0005458,SAVINGS,BR0017,2014-06-03,52339.87,15442.9,INR,BLOCKED,Y,2025-04-19
ACC000000022,CUST0002578,SAVINGS,BR0112,2018-01-15,274618.67,231616.33,INR,ACTIVE,N,2025-01-31
ACC000000023,CUST0005814,FIXED_DEPOSIT,BR0068,2014-12-17,25758.64,10658.35,INR,ACTIVE,N,2024-07-07
ACC000000024,CUST0004422,SAVINGS,BR0059,2021-03-31,74260.46,44962.18,INR,ACTIVE,N,2025-07-16
ACC000000025,CUST0007857,SAVINGS,BR0073,2025-11-04,77294.79,54431.46,INR,ACTIVE,N,2026-01-16
ACC000000026,CUST0008484,SAVINGS,BR0043,2015-12-28,74766.53,43545.51,INR,ACTIVE,N,2023-02-20
ACC000000027,CUST0003329,CURRENT,BR0028,2021-05-03,42052.61,34602.09,EUR,ACTIVE,N,2023-06-10
ACC000000028,CUST0004430,CURRENT,BR0021,2022-12-13,186523.01,161052.85,INR,ACTIVE,N,2026-07-02
ACC000000029,CUST0009343,SAVINGS,BR0072,2023-05-03,235942.51,232513.36,GBP,ACTIVE,N,2023-07-05
ACC000000030,CUST0004402,FIXED_DEPOSIT,BR0103,2019-12-25,10986.77,8130.51,INR,ACTIVE,N,2023-03-02
ACC000000031,CUST0005479,SALARY,BR0077,2018-08-12,214634.15,190983.34,INR,ACTIVE,N,2025-04-12
ACC000000032,CUST0003761,SALARY,BR0005,2018-09-10,176560.46,156253.85,INR,ACTIVE,N,2024-07-08
