customer_id,customer_name,customer_segment,age_group,city,state,occupation,annual_income_inr,risk_category,kyc_status,customer_since,customer_status
CUST0000001,Aanya Khan,RETAIL,46-60,Chennai,Tamil Nadu,Retired,1346644,MEDIUM,PENDING,2013-08-12,CLOSED
CUST0000002,Aarav Yadav,RETAIL,60+,Lucknow,Uttar Pradesh,Retired,1035476,MEDIUM,REJECTED,2014-12-23,ACTIVE
CUST0000003,Neha Reddy,RETAIL,26-35,Hyderabad,Telangana,Self-Employed,769542,LOW,VERIFIED,2019-05-03,ACTIVE
CUST0000004,Karan Sharma,RETAIL,26-35,Indore,Madhya Pradesh,Self-Employed,1059185,LOW,VERIFIED,2024-09-01,ACTIVE
CUST0000005,Ananya Rao,RETAIL,18-25,Kochi,Kerala,Professional,448285,LOW,VERIFIED,2020-07-13,ACTIVE
CUST0000006,Sneha Singh,RETAIL,46-60,Jaipur,Rajasthan,Student,1438651,LOW,REJECTED,2018-01-27,DORMANT
CUST0000007,Neha Nair,SME,46-60,Indore,Madhya Pradesh,Salaried,7916194,LOW,VERIFIED,2015-06-15,ACTIVE
CUST0000008,Ishaan Iyer,RETAIL,26-35,Kochi,Kerala,Self-Employed,1687302,HIGH,REJECTED,2020-01-03,ACTIVE
CUST0000009,Diya Verma,RETAIL,60+,Kochi,Kerala,Self-Employed,1704057,LOW,PENDING,2022-12-21,ACTIVE
CUST0000010,Vivaan Yadav,RETAIL,36-45,Lucknow,Uttar Pradesh,Business Owner,1624462,MEDIUM,REJECTED,2014-06-10,ACTIVE
CUST0000011,Rahul Verma,SME,46-60,New Delhi,Delhi,Retired,8661206,MEDIUM,VERIFIED,2017-11-26,ACTIVE
CUST0000012,Sai Rao,RETAIL,60+,Kochi,Kerala,Salaried,1380639,LOW,EXPIRED,2021-04-10,ACTIVE
CUST0000013,Diya Sharma,RETAIL,60+,New Delhi,Delhi,Professional,777313,LOW,VERIFIED,2019-12-20,ACTIVE
CUST0000014,Arjun Sharma,SME,18-25,Chennai,Tamil Nadu,Self-Employed,9276420,LOW,VERIFIED,2014-02-03,DORMANT
CUST0000015,Krishna Nair,RETAIL,18-25,Ahmedabad,Gujarat,Retired,647917,HIGH,VERIFIED,2018-06-19,ACTIVE
CUST0000016,Arjun Khan,RETAIL,36-45,Hyderabad,Telangana,Retired,1204863,MEDIUM,VERIFIED,2024-06-24,ACTIVE
CUST0000017,Vivaan Verma,SME,46-60,Jaipur,Rajasthan,Salaried,9215470,LOW,VERIFIED,2013-06-27,ACTIVE
CUST0000018,Rohan Singh,SME,18-25,Bengaluru,Karnataka,Salaried,6186101,LOW,VERIFIED,2022-12-30,ACTIVE
CUST0000019,Sai Reddy,RETAIL,18-25,New Delhi,Delhi,Self-Employed,583124,LOW,VERIFIED,2012-01-09,ACTIVE
CUST0000020,Riya Reddy,PREMIUM,60+,Ahmedabad,Gujarat,Salaried,3406471,LOW,EXPIRED,2019-08-19,CLOSED
CUST0000021,Ishaan Reddy,RETAIL,36-45,Lucknow,Uttar Pradesh,Self-Employed,441010,LOW,EXPIRED,2022-12-08,ACTIVE
CUST0000022,Krishna Khan,RETAIL,18-25,Indore,Madhya Pradesh,Student,1334290,LOW,VERIFIED,2018-12-24,ACTIVE
CUST0000023,Aarav Khan,RETAIL,36-45,Kolkata,West Bengal,Retired,1381621,LOW,EXPIRED,2018-02-13,CLOSED
CUST0000024,Rohan Singh,RETAIL,26-35,Bhubaneswar,Odisha,Homemaker,280021,HIGH,PENDING,2014-10-22,ACTIVE
CUST0000025,Sai Mehta,RETAIL,18-25,Lucknow,Uttar Pradesh,Professional,1300542,LOW,VERIFIED,2021-02-27,ACTIVE
CUST0000026,Neha Das,RETAIL,46-60,Mumbai,Maharashtra,Student,1627665,HIGH,PENDING,2015-03-09,CLOSED
CUST0000027,Meera Reddy,RETAIL,26-35,Chennai,Tamil Nadu,Salaried,723228,LOW,VERIFIED,2018-03-30,ACTIVE
CUST0000028,Karan Sharma,RETAIL,18-25,Bhubaneswar,Odisha,Self-Employed,719513,LOW,VERIFIED,2021-08-17,BLOCKED
CUST0000029,Ishaan Iyer,RETAIL,36-45,Bhubaneswar,Odisha,Professional,509480,HIGH,VERIFIED,2024-12-08,ACTIVE
CUST0000030,Aanya Reddy,RETAIL,46-60,Mumbai,Maharashtra,Retired,1548223,LOW,VERIFIED,2014-10-29,ACTIVE
CUST0000031,Neha Kapoor,RETAIL,26-35,Ahmedabad,Gujarat,Professional,1546468,LOW,PENDING,2016-07-28,ACTIVE
CUST0000032,Priya Rao,RETAIL,60+,Kochi,Kerala,Self-Employed,1575108,MEDIUM,VERIFIED,2023-02-18,ACTIVE
CUST0000033,Meera Rao,RETAIL,26-35,Chennai,Tamil Nadu,Salaried,756455,LOW,REJECTED,2018-10-22,ACTIVE
CUST0000034,Meera Gupta,RETAIL,46-60,Indore,Madhya Pradesh,Self-Employed,1192043,LOW,VERIFIED,2015-11-03,ACTIVE
CUST0000035,Ishaan Joshi,RETAIL,46-60,Mumbai,Maharashtra,Professional,1427751,MEDIUM,VERIFIED,2016-01-23,CLOSED
CUST0000036,Krishna Das,RETAIL,46-60,Kolkata,West Bengal,Professional,1008045,LOW,VERIFIED,2019-05-28,ACTIVE
CUST0000037,Pooja Nair,RETAIL,60+,Bhubaneswar,Odisha,Retired,759372,MEDIUM,VERIFIED,2019-06-08,ACTIVE
CUST0000038,Aarav Khan,RETAIL,36-45,Kochi,Kerala,Retired,1257882,LOW,VERIFIED,2012-09-12,ACTIVE
CUST0000039,Aanya Verma,SME,18-25,Bhubaneswar,Odisha,Retired,4696769,LOW,VERIFIED,2017-08-20,ACTIVE
CUST0000040,Ananya Singh,SME,36-45,Hyderabad,Telangana,Retired,5982633,LOW,VERIFIED,2019-11-26,ACTIVE
CUST0000041,Riya Sharma,RETAIL,60+,Lucknow,Uttar Pradesh,Retired,1168312,LOW,VERIFIED,2022-09-15,ACTIVE
CUST0000042,Sneha Yadav,RETAIL,26-35,Ahmedabad,Gujarat,Student,1595401,LOW,VERIFIED,2021-08-16,ACTIVE
CUST0000043,Ananya Khan,RETAIL,26-35,Hyderabad,Telangana,Retired,898196,LOW,VERIFIED,2022-12-25,ACTIVE
CUST0000044,Priya Patel,RETAIL,36-45,Indore,Madhya Pradesh,Self-Employed,810666,LOW,VERIFIED,2026-03-26,ACTIVE
CUST0000045,Ishaan Rao,CORPORATE,46-60,Lucknow,Uttar Pradesh,Business Owner,17433696,LOW,VERIFIED,2025-01-10,ACTIVE
CUST0000046,Aarav Das,PREMIUM,46-60,Indore,Madhya Pradesh,Self-Employed,3622250,LOW,VERIFIED,2020-03-07,ACTIVE
CUST0000047,Diya Yadav,RETAIL,46-60,New Delhi,Delhi,Student,255775,LOW,VERIFIED,2016-05-29,ACTIVE
CUST0000048,Aarav Verma,SME,18-25,Kolkata,West Bengal,Student,1562758,MEDIUM,VERIFIED,2019-09-29,ACTIVE
CUST0000049,Krishna Iyer,RETAIL,18-25,Bengaluru,Karnataka,Student,1539344,MEDIUM,VERIFIED,2025-04-23,ACTIVE
CUST0000050,Arjun Sharma,RETAIL,46-60,Hyderabad,Telangana,Business Owner,535389,LOW,VERIFIED,2014-11-21,ACTIVE
CUST0000051,Aarav Sharma,RETAIL,36-45,Bengaluru,Karnataka,Salaried,301241,LOW,VERIFIED,2025-12-05,ACTIVE
CUST0000052,Rahul Sharma,RETAIL,26-35,Lucknow,Uttar Pradesh,Salaried,1607433,MEDIUM,VERIFIED,2021-02-02,ACTIVE
CUST0000053,Krishna Reddy,RETAIL,36-45,Bhubaneswar,Odisha,Self-Employed,914960,LOW,VERIFIED,2013-12-14,ACTIVE
CUST0000054,Riya Das,RETAIL,36-45,Jaipur,Rajasthan,Professional,687209,MEDIUM,VERIFIED,2014-04-23,ACTIVE
CUST0000055,Aditya Das,RETAIL,36-45,Jaipur,Rajasthan,Self-Employed,1178714,MEDIUM,VERIFIED,2015-10-21,ACTIVE
CUST0000056,Diya Singh,RETAIL,46-60,Lucknow,Uttar Pradesh,Homemaker,1385635,HIGH,VERIFIED,2025-02-04,ACTIVE
CUST0000057,Krishna Nair,SME,60+,Hyderabad,Telangana,Student,4065526,LOW,VERIFIED,2017-11-19,ACTIVE
CUST0000058,Riya Singh,RETAIL,18-25,Mumbai,Maharashtra,Self-Employed,1530178,MEDIUM,VERIFIED,2023-09-04,ACTIVE
CUST0000059,Karan Verma,RETAIL,18-25,Mumbai,Maharashtra,Self-Employed,1781703,LOW,VERIFIED,2016-02-22,ACTIVE
CUST0000060,Aanya Khan,RETAIL,26-35,Hyderabad,Telangana,Student,1341921,LOW,VERIFIED,2022-11-04,ACTIVE
CUST0000061,Aarav Yadav,RETAIL,46-60,Jaipur,Rajasthan,Student,780845,LOW,VERIFIED,2023-06-05,ACTIVE
CUST0000062,Isha Yadav,RETAIL,46-60,Bhubaneswar,Odisha,Salaried,305842,LOW,VERIFIED,2019-03-15,ACTIVE
CUST0000063,Ishaan Sharma,RETAIL,26-35,Indore,Madhya Pradesh,Student,1785436,HIGH,VERIFIED,2018-01-01,ACTIVE
CUST0000064,Diya Yadav,RETAIL,26-35,Mumbai,Maharashtra,Self-Employed,1701115,LOW,VERIFIED,2019-06-28,ACTIVE
CUST0000065,Arjun Reddy,PREMIUM,36-45,Ahmedabad,Gujarat,Retired,3235591,MEDIUM,VERIFIED,2012-05-20,ACTIVE
CUST0000066,Rohan Patel,PREMIUM,18-25,Hyderabad,Telangana,Professional,3091167,LOW,VERIFIED,2016-01-16,ACTIVE
CUST0000067,Sneha Reddy,RETAIL,36-45,Jaipur,Rajasthan,Retired,1132702,LOW,VERIFIED,2014-05-21,ACTIVE
CUST0000068,Priya Mehta,RETAIL,60+,Kolkata,West Bengal,Salaried,507386,LOW,VERIFIED,2013-08-28,ACTIVE
CUST0000069,Rohan Iyer,PREMIUM,18-25,Kochi,Kerala,Homemaker,1853313,LOW,VERIFIED,2015-02-13,ACTIVE
CUST0000070,Ishaan Rao,RETAIL,36-45,Indore,Madhya Pradesh,Salaried,692495,HIGH,PENDING,2021-06-10,ACTIVE
CUST0000071,Aanya Kapoor,RETAIL,60+,Jaipur,Rajasthan,Professional,1363151,LOW,VERIFIED,2014-02-07,ACTIVE
CUST0000072,Sai Kapoor,PREMIUM,18-25,Kolkata,West Bengal,Business Owner,3668255,LOW,VERIFIED,2019-10-31,ACTIVE
CUST0000073,Arjun Sharma,RETAIL,26-35,Indore,Madhya Pradesh,Student,520718,LOW,VERIFIED,2023-06-19,ACTIVE
